// Deposits (positive amounts)
2025-11-12|08:30:00|Freelance Payment|ClientA|1200.00
2024-07-05|13:45:00|Birthday Gift|FriendB|150.00
2023-12-20|10:15:00|Sold Laptop|eBay|650.00
2025-03-08|09:00:00|Refund|OnlineStore|90.00
2024-09-15|16:20:00|Stock Dividend|BrokerX|320.50

// Payments (negative amounts)
2023-11-01|12:30:00|Dinner|RestaurantC|-45.50
2025-06-22|07:50:00|Electric Bill|PowerCo|-120.75
2024-04-18|14:10:00|Coffee|CafeD|-5.50
2025-01-30|18:00:00|Gas|PetrolStation|-60.00
2023-08-12|19:45:00|Movie Tickets|CinemaE|-30.00
